,term,weight
223,plan,0.0026004988035623565
180,looks,0.0026032793642568474
69,dad,0.0026135520581719715
134,healthy,0.002617275324877757
122,going,0.002619037880178636
295,talk,0.0026220171898363133
245,rights,0.0026247222177756945
302,thing,0.0026371577576661523
177,ll,0.002640092809551451
259,secret,0.002669921377239266
74,deal,0.002681093732070012
315,ve,0.002683889790005744
198,music,0.0026881854168252835
242,republicans,0.0026906079233807068
82,dog,0.002696998507682188
70,daughter,0.0027426269482411303
10,2014,0.002743626564921197
112,future,0.002747123697294764
22,attack,0.0027495965806408275
144,huffpost,0.0027518353203382826
272,son,0.0027519813040864176
43,california,0.0027782926978889505
3,11,0.002795522465162996
291,super,0.0028205630790210483
265,sexual,0.002826597351492402
0,000,0.0028272044183266063
135,heart,0.00283175401477921
187,media,0.0028318768864261505
9,2013,0.0028584283747299585
85,dress,0.0028631709015067477
29,beauty,0.0028782491378156576
228,power,0.002880651507805704
42,business,0.002880848599935847
304,think,0.0028947212592025555
60,college,0.002898506300045478
118,girl,0.0029020630290421856
194,money,0.0029249220782853165
205,night,0.002933874233653696
92,end,0.0029481459588912903
200,national,0.0029577977795871447
139,history,0.00297269471499722
81,doesn,0.002979857568770644
266,shooting,0.0029799635145649527
294,takes,0.0029819287004049953
125,got,0.0029855934545869297
206,north,0.0030174939095887463
55,christmas,0.003020698255331778
94,face,0.003021283321797135
8,2012,0.003038171414468036
140,holiday,0.0030650565523290376
44,calls,0.003076529771584862
220,perfect,0.0030876882311232164
173,little,0.003090619672009334
191,million,0.0030989094026068953
283,story,0.0031073659830849016
19,americans,0.0031543482518551023
137,high,0.0031686765579326125
196,mother,0.00321995929478804
184,making,0.0032277564152117734
26,bad,0.0032320003468563753
101,fight,0.003248508116967065
167,let,0.0032703079071143277
56,city,0.003308823222942923
45,campaign,0.003312196098016681
216,party,0.003337710450684299
322,wants,0.0033752371482850597
127,great,0.003384783530998294
236,reasons,0.0033912688338228135
257,season,0.0033959142255465848
323,war,0.0034211952226571615
313,twitter,0.00342279988451371
116,getting,0.00342835316596988
21,art,0.0034405758068644723
66,court,0.003473311846092877
347,york,0.0035041150689207826
58,climate,0.003507340238467118
90,election,0.003520767190274733
174,live,0.0035292488137234393
269,sleep,0.003542577329709495
183,makes,0.00354441675437732
110,free,0.0035503138943553903
128,guide,0.0035520017292793053
105,finds,0.0035852797509419126
238,recipes,0.003599477147966156
20,anti,0.0036095048834517383
264,sex,0.0036693690598492367
154,john,0.0036774645584648664
48,care,0.0037421502374293076
73,dead,0.0038567465646471327
51,child,0.0038650423835016046
340,work,0.003882111294066544
339,won,0.0038840014562054135
214,parents,0.00388509476567921
113,game,0.0038983109124683317
290,summer,0.0039045594368828382
189,men,0.003945677924946191
240,report,0.003956133157685593
186,marriage,0.0040164843115811436
267,shows,0.004031304707931761
98,fashion,0.00409448176883086
32,better,0.004101504892869758
115,gets,0.0041266637715275155
244,right,0.004208281117523515
309,travel,0.004229007956266936
204,news,0.004260851667364646
235,real,0.0042714699594601
282,stop,0.004289169032014442
46,cancer,0.00429506017030252
289,style,0.004366291619655878
138,hillary,0.00438601821321581
52,children,0.004444881466225506
75,death,0.004452277602053536
278,state,0.004474777839774983
321,want,0.004588958318227214
50,change,0.004629081716573713
255,school,0.004660047472265799
33,big,0.004685151449885674
210,old,0.0046879091956365864
345,years,0.004690222224870924
229,president,0.004752431357015511
80,divorce,0.00480406027336762
192,mom,0.0048212732971764155
34,bill,0.00488963852039419
25,baby,0.004922869908850828
307,tips,0.004929099051226104
225,police,0.004983434502387773
97,family,0.0049848027495561385
276,star,0.005042098731202098
288,study,0.00510626836174533
123,good,0.005120168272393261
179,look,0.005206233244983677
18,american,0.005217010060048766
337,woman,0.005331180640244253
114,gay,0.005408298116516478
108,food,0.005502323153655126
334,white,0.005529381693088398
327,way,0.005557296832643437
59,clinton,0.005569498397109435
136,help,0.0056427344285467805
124,gop,0.0057208990707836305
143,house,0.005947029532125428
163,know,0.006042857273201351
325,watch,0.006069736782336126
201,need,0.00621079088527567
329,wedding,0.0062308600764638036
36,black,0.006241061215471694
141,home,0.00635702800008815
221,photo,0.0063625355065895905
303,things,0.006540379161294089
133,health,0.006814317872320475
83,don,0.006998134433064702
17,america,0.0070264618167282565
185,man,0.007164640448689398
328,ways,0.007295251356287924
330,week,0.0073524462097241255
207,obama,0.0075523361362545526
182,love,0.00797030596670215
171,like,0.00800973000525705
160,kids,0.008024273241183991
305,time,0.008490027158139256
219,people,0.008646139166983726
344,year,0.008673265514888824
1,10,0.009340753376638571
170,life,0.009416973899920906
338,women,0.009841548259823288
254,says,0.010519920061898377
341,world,0.010892325880187704
31,best,0.01102646737811453
84,donald,0.012034926670713975
71,day,0.012767676730062873
316,video,0.016105471291794026
203,new,0.02159644111416461
222,photos,0.026283712547849433
310,trump,0.030249960373371184
